AD-ED,Reporting,Jo Jorgensen Jeremy Cohen,Donald J. Trump Michael R. Pence,WRITE-IN,Howie Hawkins Angela Nicole Walker,Joseph R. Biden Kamala D. Harris,Brock Pierce Karla Ballard
54-055,99.00%,0,28,0,0,106,0
54-056,99.00%,0,15,0,1,35,0
54-057,99.00%,0,14,0,0,135,0
54-058,99.00%,0,18,1,0,139,0
54-059,99.00%,0,17,0,1,94,0
54-060,99.00%,0,7,0,3,241,0
54-061,42.86%,0,5,1,1,172,0
54-062,42.86%,0,8,0,1,176,0
54-063,99.00%,1,31,1,2,444,0
54-064,99.00%,0,7,0,5,167,0
54-065,71.43%,0,11,0,0,84,0
54-066,99.00%,0,26,1,0,122,0
54-067,99.00%,0,6,0,0,87,0
54-068,99.00%,0,22,1,0,249,0
54-069,99.00%,1,26,0,1,188,0
54-070,99.00%,0,4,0,1,98,0
54-071,99.00%,0,2,0,0,71,0
54-072,99.00%,0,4,0,0,19,0
54-073,42.86%,1,8,0,1,135,0
54-074,57.14%,0,2,0,0,171,0
54-075,99.00%,0,3,1,0,67,0
54-076,99.00%,0,18,2,0,181,0
54-077,57.14%,0,1,0,0,76,0
54-078,99.00%,0,0,0,0,1,0
54-079,99.00%,0,16,0,0,122,0
54-080,99.00%,1,57,0,0,282,0
54-081,99.00%,1,15,0,0,106,1
54-082,99.00%,0,11,0,0,66,0
54-083,83.33%,0,35,0,0,230,0
54-084,99.00%,0,11,0,2,157,0
54-085,99.00%,1,28,0,0,265,0
54-086,42.86%,1,22,0,1,210,0
54-087,42.86%,0,7,1,0,124,0
54-088,99.00%,1,8,0,0,188,0
54-089,57.14%,0,5,0,0,169,0
55-001,99.00%,0,0,0,0,4,0
55-002,99.00%,0,5,1,1,190,0
55-003,99.00%,0,1,0,0,63,0
55-004,99.00%,0,11,1,1,324,0
55-005,57.14%,0,4,0,0,45,0
55-006,66.67%,0,12,0,0,125,0
55-007,66.67%,0,13,2,5,248,0
55-008,99.00%,0,1,0,0,27,0
55-009,99.00%,1,13,1,1,366,0
55-010,66.67%,0,10,2,2,301,0
55-011,66.67%,1,9,0,1,312,0
55-012,66.67%,0,11,1,0,332,0
55-013,66.67%,0,0,0,0,9,0
55-014,99.00%,0,4,0,0,180,0
55-015,99.00%,1,17,0,1,184,0
55-016,99.00%,0,4,0,1,144,0
55-017,99.00%,1,3,1,0,140,0
55-018,85.71%,0,7,0,0,297,0
55-019,85.71%,2,12,0,3,364,0
55-020,37.50%,1,24,2,1,310,0
55-021,99.00%,0,3,0,0,166,0
55-022,37.50%,0,12,1,1,245,0
55-023,37.50%,0,14,1,1,196,0
55-024,85.71%,0,4,0,1,216,0
55-025,99.00%,0,18,0,7,485,0
55-026,99.00%,0,14,0,0,121,0
55-027,99.00%,0,21,0,1,226,0
55-028,99.00%,0,8,1,0,178,1
55-029,83.33%,0,1,0,0,72,0
55-030,37.50%,0,7,2,1,161,0
55-031,83.33%,0,3,0,0,58,0
55-032,44.44%,0,8,0,0,126,0
55-033,66.67%,0,2,0,0,157,0
55-034,66.67%,0,5,1,0,119,0
55-035,99.00%,0,10,0,0,254,0
55-036,83.33%,0,0,0,0,15,0
55-037,57.14%,0,3,0,0,83,0
55-038,57.14%,0,4,0,0,65,0
55-039,99.00%,0,1,0,0,0,0
55-040,99.00%,0,10,0,0,27,0
55-041,99.00%,0,16,1,1,180,0
55-042,99.00%,0,0,0,0,10,0
55-043,99.00%,0,5,0,0,33,0
55-044,99.00%,0,9,0,0,36,0
55-045,99.00%,0,34,0,1,243,0
55-046,99.00%,1,16,0,1,209,0
55-047,99.00%,0,4,0,0,74,0
55-048,99.00%,0,10,0,0,199,0
55-049,99.00%,0,33,2,1,285,2
55-050,99.00%,0,6,0,0,87,0
55-051,85.71%,0,3,0,0,15,0
55-052,85.71%,0,1,0,0,46,0
55-053,80.00%,0,6,0,0,96,1
55-054,83.33%,0,0,0,0,18,0
55-055,57.14%,0,3,0,0,105,0
55-056,83.33%,0,0,0,0,52,0
55-057,57.14%,0,4,0,0,144,0
55-058,85.71%,0,6,0,0,128,0
55-059,85.71%,0,0,0,0,81,0
55-060,83.33%,0,2,0,0,26,0
55-061,85.71%,0,0,0,0,0,0
55-062,66.67%,0,8,0,0,126,0
55-063,99.00%,0,5,0,0,87,0
55-064,66.67%,0,10,0,1,224,2
55-065,99.00%,0,13,1,1,284,0
55-066,83.33%,0,5,0,1,139,0
55-067,85.71%,0,2,0,0,151,0
55-068,99.00%,0,5,0,0,152,0
55-069,99.00%,0,2,0,1,233,1
55-070,99.00%,0,7,0,0,126,0
55-071,99.00%,0,6,0,0,121,0
55-072,99.00%,0,4,0,0,105,0
55-073,99.00%,0,0,0,0,0,0
55-074,99.00%,0,15,0,0,146,0
55-075,83.33%,2,12,0,5,296,0
55-076,83.33%,0,13,1,1,381,1
55-077,83.33%,0,1,0,1,54,0
55-078,99.00%,0,11,0,0,294,0
55-079,85.71%,0,3,0,0,235,0
55-080,99.00%,0,2,0,0,166,1
55-081,44.44%,0,10,0,0,209,0
55-082,44.44%,0,5,0,0,278,0
55-083,0.00%,0,0,0,0,0,0
55-084,0.00%,0,0,0,0,0,0
55-085,45.45%,0,6,0,0,194,0
55-086,62.50%,1,3,0,0,117,0
55-087,45.45%,0,3,0,0,98,0
55-088,45.45%,0,1,0,0,105,0
55-089,62.50%,0,1,0,0,122,0
55-090,99.00%,0,10,0,0,200,0
55-091,99.00%,1,8,0,0,238,0
55-092,99.00%,0,5,0,0,141,1
55-093,99.00%,0,13,1,0,194,0
55-094,45.45%,0,2,0,0,175,0
55-095,81.82%,0,2,0,0,49,0
55-096,80.00%,1,10,2,1,321,0
55-097,99.00%,0,5,1,2,198,0
55-098,83.33%,0,3,0,0,57,0
55-099,80.00%,0,8,0,1,441,0
55-100,0.00%,0,0,0,0,0,0
55-101,0.00%,0,0,0,0,0,0
55-102,0.00%,0,0,0,0,0,0
55-103,44.44%,0,2,0,2,231,0
55-104,44.44%,0,1,0,0,211,0
55-105,99.00%,0,2,0,0,82,0
55-106,45.45%,0,5,0,0,210,0
55-107,44.44%,0,4,0,1,264,0
55-108,83.33%,0,4,0,0,120,0
55-109,66.67%,1,5,0,2,185,0
55-110,99.00%,1,8,1,0,194,0
55-111,85.71%,0,0,0,0,0,0
55-112,66.67%,0,0,0,0,0,0
55-113,99.00%,0,0,0,0,0,0
56-001,99.00%,0,22,0,0,168,0
56-002,99.00%,0,26,0,0,222,0
56-003,83.33%,0,6,0,0,132,0
56-004,99.00%,0,15,0,0,206,0
56-005,66.67%,0,2,0,0,166,0
56-006,99.00%,0,64,0,1,294,0
56-007,99.00%,0,15,0,0,161,0
56-008,99.00%,0,18,1,0,142,0
56-009,99.00%,0,12,0,1,147,0
56-010,99.00%,0,9,0,1,128,0
56-011,99.00%,0,36,0,2,291,0
56-012,99.00%,0,27,0,0,276,0
56-013,99.00%,0,20,0,1,268,0
56-014,99.00%,0,8,0,0,342,0
56-015,99.00%,1,11,2,2,368,0
56-016,99.00%,0,11,2,2,397,0
56-017,99.00%,2,11,1,1,255,0
56-018,99.00%,0,8,0,3,253,0
56-019,99.00%,1,6,3,0,262,0
56-020,57.14%,1,2,0,0,126,0
56-021,57.14%,0,6,0,2,233,0
56-022,66.67%,0,1,2,0,197,0
56-023,66.67%,0,2,1,3,313,0
56-024,22.22%,0,0,0,0,0,0
56-025,22.22%,0,0,0,0,0,0
56-026,33.33%,0,0,0,0,0,0
56-027,37.50%,0,0,0,0,0,0
56-028,37.50%,0,0,0,0,0,0
56-029,99.00%,0,19,5,3,429,2
56-030,99.00%,0,41,1,5,488,0
56-031,99.00%,2,3,0,1,171,0
56-032,99.00%,0,2,0,0,251,0
56-033,99.00%,1,3,0,2,313,0
56-034,99.00%,0,8,3,0,369,0
56-035,37.50%,0,0,0,0,0,0
56-036,33.33%,0,0,0,0,0,0
56-037,33.33%,0,0,0,0,0,0
56-038,44.44%,0,0,0,0,0,0
56-039,33.33%,0,0,0,0,0,0
56-040,44.44%,0,0,0,0,0,0
56-041,0.00%,0,0,0,0,0,0
56-042,99.00%,0,2,1,0,297,0
56-043,99.00%,0,3,1,2,302,0
56-044,99.00%,0,12,1,4,331,1
56-045,99.00%,2,10,1,2,329,0
56-046,99.00%,0,3,0,2,395,0
56-047,99.00%,0,4,2,1,304,2
56-048,99.00%,0,4,1,0,439,0
56-049,99.00%,0,2,1,0,253,0
56-050,0.00%,0,0,0,0,0,0
56-051,0.00%,0,0,0,0,0,0
56-052,44.44%,0,0,0,0,0,0
56-053,44.44%,0,0,0,0,0,0
56-054,50.00%,2,13,0,1,316,1
56-055,28.57%,0,0,0,0,0,0
56-056,28.57%,0,0,0,0,0,0
56-057,50.00%,0,11,0,1,197,1
56-058,50.00%,0,6,0,0,141,1
56-059,28.57%,0,21,1,1,216,0
56-060,0.00%,0,0,0,0,0,0
56-061,99.00%,0,5,2,1,231,0
56-062,0.00%,0,0,0,0,0,0
56-063,28.57%,0,0,0,0,0,0
56-064,25.00%,0,0,0,0,0,0
56-065,25.00%,0,0,0,0,0,0
56-066,28.57%,0,0,0,0,0,0
56-067,0.00%,0,0,0,0,0,0
56-068,25.00%,0,0,0,0,0,0
56-069,28.57%,1,8,0,1,109,0
56-070,28.57%,0,13,0,0,133,0
56-071,0.00%,0,0,0,0,0,0
56-072,14.29%,0,0,0,0,0,0
56-073,0.00%,0,0,0,0,0,0
56-074,0.00%,0,0,0,0,0,0
56-075,0.00%,0,0,0,0,0,0
56-076,0.00%,0,0,0,0,0,0
56-077,0.00%,0,0,0,0,0,0
56-078,0.00%,0,0,0,0,0,0
56-079,99.00%,1,15,2,3,433,0
56-080,0.00%,0,0,0,0,0,0
56-081,25.00%,0,0,0,0,0,0
56-082,50.00%,0,24,0,0,202,0
56-083,28.57%,0,14,0,1,257,0
56-084,0.00%,0,0,0,0,0,0
56-085,99.00%,1,13,1,1,399,2
56-086,57.14%,0,4,5,0,189,0
56-087,33.33%,0,0,0,0,0,0
56-088,44.44%,0,0,0,0,0,0
56-089,99.00%,0,10,1,1,344,0
56-090,99.00%,0,3,0,1,332,0
56-091,50.00%,0,10,4,6,235,1
56-092,99.00%,0,0,0,0,5,0
57-001,99.00%,1,33,0,2,255,0
57-002,99.00%,1,19,0,1,336,0
57-003,99.00%,1,28,1,1,319,0
57-004,85.71%,0,5,1,0,174,1
57-005,87.50%,1,1,0,1,57,0
57-006,71.43%,0,6,0,1,98,0
57-007,99.00%,0,3,0,2,74,0
57-008,99.00%,0,7,0,0,141,0
57-009,99.00%,0,12,1,0,273,1
57-010,99.00%,4,11,0,1,575,1
57-011,99.00%,0,12,1,1,225,0
57-012,71.43%,1,7,0,0,85,0
57-013,71.43%,0,5,0,1,68,0
57-014,85.71%,0,10,0,1,287,0
57-015,99.00%,0,10,2,2,395,0
57-016,99.00%,0,12,2,2,507,0
57-017,99.00%,3,22,5,3,589,0
57-018,87.50%,0,9,0,1,461,0
57-019,83.33%,0,51,0,0,40,0
57-020,83.33%,0,1,0,0,5,0
57-021,99.00%,0,32,1,1,353,0
57-022,83.33%,1,70,0,0,229,0
57-023,87.50%,0,0,1,0,31,0
57-024,99.00%,2,20,1,4,484,0
57-025,85.71%,1,21,2,0,651,0
57-026,85.71%,0,16,2,1,434,0
57-027,50.00%,1,2,1,3,370,0
57-028,50.00%,0,10,2,2,339,0
57-029,50.00%,1,9,1,4,483,0
57-030,87.50%,0,11,0,1,319,0
57-031,87.50%,0,15,0,1,462,1
57-032,99.00%,0,28,1,3,313,2
57-033,87.50%,0,2,0,0,78,0
57-034,99.00%,0,10,1,0,518,0
57-035,99.00%,0,6,2,3,458,0
57-036,99.00%,0,8,0,2,404,1
57-037,99.00%,1,9,1,0,352,0
57-038,99.00%,1,8,0,1,473,0
57-039,99.00%,2,4,3,0,447,0
57-040,99.00%,1,4,1,2,398,0
57-041,99.00%,1,8,2,3,442,0
57-042,50.00%,1,7,0,1,386,1
57-043,85.71%,2,17,3,3,519,0
57-044,99.00%,0,15,3,1,469,1
57-045,99.00%,1,12,0,2,314,0
57-046,99.00%,0,3,0,0,216,0
57-047,85.71%,0,5,1,0,264,0
57-048,99.00%,0,4,1,1,397,0
57-049,99.00%,0,2,1,3,336,1
57-050,99.00%,0,0,0,1,325,1
57-051,40.00%,0,0,0,0,0,0
57-052,0.00%,0,0,0,0,0,0
57-053,40.00%,0,0,0,0,0,0
57-054,40.00%,0,0,0,0,0,0
57-055,40.00%,0,0,0,0,0,0
57-056,40.00%,0,0,0,0,0,0
57-057,50.00%,0,12,1,2,175,0
57-058,72.73%,1,0,0,0,206,0
57-059,63.64%,0,1,2,1,228,0
57-060,99.00%,0,20,1,0,364,0
57-061,99.00%,8,42,2,3,807,2
57-062,99.00%,0,21,0,3,396,0
57-063,99.00%,0,10,2,4,392,0
57-064,99.00%,0,14,3,1,549,0
57-065,63.64%,0,4,3,2,275,0
57-066,72.73%,0,3,1,1,259,0
57-067,72.73%,0,2,1,1,251,0
57-068,99.00%,0,6,0,5,345,0
57-069,63.64%,0,9,1,2,366,0
57-070,63.64%,1,8,2,0,482,0
57-071,99.00%,2,15,3,1,318,0
57-072,99.00%,0,7,0,1,332,0
57-073,99.00%,1,3,0,0,278,0
57-074,99.00%,1,8,2,1,413,0
57-075,72.73%,3,12,1,0,468,0
57-076,72.73%,2,7,2,2,461,0
57-077,99.00%,0,4,1,1,182,0
57-078,72.73%,1,18,0,0,441,1
57-079,99.00%,0,8,1,0,276,0
57-080,72.73%,0,5,2,1,475,0
57-081,99.00%,0,3,1,1,328,0
57-082,72.73%,0,4,0,0,220,0
57-083,99.00%,0,4,1,1,296,0
57-084,99.00%,0,4,0,1,345,0
57-085,99.00%,0,4,0,1,335,0
57-086,72.73%,0,3,0,2,196,1
57-087,99.00%,0,8,0,3,399,0
57-088,99.00%,1,2,1,0,223,0
57-089,99.00%,0,1,0,0,302,0
57-090,99.00%,1,1,0,2,400,0
57-091,99.00%,0,6,1,1,222,0
57-092,99.00%,0,2,1,2,326,0
57-093,99.00%,0,4,1,1,289,0
57-094,87.50%,0,3,1,0,132,0
57-095,50.00%,0,6,1,2,240,0
57-096,99.00%,0,4,0,3,242,0
57-097,99.00%,0,18,0,0,234,2
57-098,99.00%,0,0,0,0,104,0
57-099,22.22%,0,0,0,0,0,0
57-100,40.00%,0,0,0,0,0,0
57-101,40.00%,0,0,0,0,0,0
57-102,87.50%,0,6,1,2,248,1
57-103,85.71%,0,4,1,0,316,0
57-104,63.64%,0,0,2,1,429,0
57-105,72.73%,1,5,1,3,351,0
57-106,85.71%,0,0,0,0,0,0
58-001,41.67%,1,6,0,1,311,0
58-002,45.45%,0,11,0,0,219,0
58-003,45.45%,0,2,0,0,189,0
58-004,90.00%,0,5,0,1,281,0
58-005,90.00%,0,5,0,0,218,0
58-006,90.00%,0,0,0,0,209,0
58-007,90.00%,0,0,0,0,151,0
58-008,81.82%,0,7,0,2,276,0
58-009,50.00%,0,11,0,1,207,0
58-010,81.82%,0,2,0,0,175,0
58-011,81.82%,0,5,0,0,165,0
58-012,88.89%,0,10,0,0,397,0
58-013,88.89%,1,4,0,0,372,0
58-014,88.89%,1,4,1,0,283,0
58-015,87.50%,0,9,0,0,214,0
58-016,44.44%,0,11,0,0,201,0
58-017,83.33%,0,10,0,0,212,0
58-018,83.33%,1,7,0,0,268,0
58-019,83.33%,0,12,0,0,229,0
58-020,50.00%,0,9,0,2,284,0
58-021,50.00%,0,18,0,0,336,0
58-022,50.00%,0,8,0,1,246,0
58-023,88.89%,0,5,0,1,283,0
58-024,62.50%,0,3,0,0,177,0
58-025,62.50%,0,8,0,0,252,0
58-026,50.00%,0,1,0,1,225,0
58-027,50.00%,0,2,0,0,293,0
58-028,91.67%,0,3,0,0,238,0
58-029,91.67%,0,6,0,1,174,0
58-030,87.50%,1,21,1,0,314,0
58-031,80.00%,0,3,0,1,206,0
58-032,80.00%,0,10,0,0,266,1
58-033,88.89%,0,5,0,0,253,0
58-034,88.89%,0,17,1,0,413,0
58-035,88.89%,0,9,0,0,364,0
58-036,50.00%,0,7,0,0,175,0
58-037,50.00%,0,6,0,2,214,0
58-038,87.50%,0,7,0,0,240,0
58-039,88.89%,1,4,0,0,231,0
58-040,50.00%,0,4,0,0,173,0
58-041,88.89%,0,4,0,1,223,0
58-042,88.89%,0,1,0,0,132,0
58-043,50.00%,0,6,0,0,226,0
58-044,99.00%,0,17,0,1,260,0
58-045,88.89%,0,10,1,0,324,0
58-046,88.89%,1,2,0,0,335,0
58-047,88.89%,0,8,1,1,322,0
58-048,50.00%,0,8,0,1,309,0
58-049,88.89%,2,5,1,0,211,0
58-050,87.50%,0,2,0,0,219,0
58-051,99.00%,0,10,2,2,343,0
58-052,81.82%,0,5,0,0,234,0
58-053,66.67%,0,1,0,0,61,0
58-054,81.82%,0,6,0,0,204,0
58-055,66.67%,0,6,0,0,229,0
58-056,81.82%,0,6,0,0,91,0
58-057,99.00%,2,13,0,0,373,0
58-058,99.00%,0,7,0,0,126,0
58-059,99.00%,0,4,0,0,248,0
58-060,90.91%,0,16,0,0,272,0
58-061,66.67%,0,3,1,0,244,0
58-062,66.67%,0,3,0,0,214,0
58-063,66.67%,0,1,0,1,128,0
58-064,99.00%,0,9,0,0,153,0
58-065,80.00%,0,10,0,1,317,0
58-066,88.89%,0,7,0,0,168,0
58-067,88.89%,0,1,0,0,104,0
58-068,88.89%,0,0,0,0,65,0
58-069,88.89%,0,1,0,0,22,0
58-070,62.50%,0,7,0,0,234,0
58-071,62.50%,0,4,0,0,253,0
58-072,99.00%,0,3,1,1,162,1
58-073,60.00%,0,1,0,0,39,0
58-074,80.00%,0,12,1,0,257,0
58-075,80.00%,0,5,0,1,340,2
58-076,90.91%,0,12,0,0,274,0
58-077,90.91%,0,16,0,0,303,0
58-078,90.91%,0,1,0,0,216,0
58-079,80.00%,0,5,0,0,330,0
58-080,62.50%,0,1,0,0,196,0
58-081,50.00%,1,10,0,0,183,0
58-082,99.00%,0,5,0,0,221,0
58-083,50.00%,0,6,1,1,201,0
58-084,90.00%,0,4,0,1,201,0
58-085,81.82%,0,2,0,0,98,0
58-086,88.89%,0,4,0,3,269,0
59-001,99.00%,0,6,0,0,192,0
59-002,99.00%,0,17,0,2,198,0
59-003,99.00%,0,18,0,1,258,1
59-004,99.00%,1,18,2,0,452,1
59-005,99.00%,1,14,1,0,396,0
59-006,99.00%,0,14,0,1,510,0
59-007,62.50%,0,7,0,0,253,0
59-008,62.50%,0,17,0,0,268,0
59-009,80.00%,0,0,0,0,6,0
59-010,80.00%,0,13,0,1,265,0
59-011,80.00%,1,6,0,1,253,1
59-012,62.50%,0,8,1,0,327,1
59-013,99.00%,0,13,0,0,422,0
59-014,99.00%,0,13,0,0,458,0
59-015,99.00%,0,9,0,0,401,0
59-016,99.00%,2,14,0,0,271,0
59-017,99.00%,0,7,0,0,357,0
59-018,99.00%,0,8,1,3,387,0
59-019,99.00%,0,14,0,0,142,0
59-020,99.00%,0,22,0,0,362,0
59-021,99.00%,0,19,1,0,395,0
59-022,99.00%,0,37,0,2,421,0
59-023,99.00%,0,19,0,1,189,0
59-024,99.00%,1,33,2,1,357,1
59-025,99.00%,0,14,1,1,400,0
59-026,99.00%,0,61,1,0,410,1
59-027,99.00%,0,54,0,3,475,1
59-028,99.00%,0,30,2,2,386,0
59-029,87.50%,1,70,0,0,312,0
59-030,99.00%,1,68,0,3,328,0
59-031,99.00%,0,73,0,1,353,1
59-032,72.73%,0,47,1,0,272,0
59-033,75.00%,0,123,0,1,108,1
59-034,75.00%,1,97,0,0,45,0
59-035,99.00%,0,124,0,0,110,0
59-036,75.00%,0,190,0,3,103,0
59-037,99.00%,0,140,0,1,101,0
59-038,99.00%,1,205,1,3,126,0
59-039,99.00%,4,275,2,0,147,0
59-040,99.00%,4,298,1,1,181,1
59-041,99.00%,0,3,0,0,131,0
59-042,99.00%,1,43,0,0,29,0
59-043,99.00%,0,21,0,0,13,0
59-044,99.00%,1,18,0,0,34,0
59-045,99.00%,0,20,0,0,16,0
59-046,99.00%,0,3,0,0,2,0
59-047,99.00%,0,10,0,1,306,0
59-048,99.00%,0,0,0,0,1,0
59-049,99.00%,0,3,0,0,102,0
59-050,72.73%,0,98,0,2,276,0
59-051,72.73%,0,144,1,0,166,0
59-052,72.73%,0,260,0,0,73,0
59-053,72.73%,1,315,1,0,42,0
59-054,72.73%,0,217,0,0,68,0
59-055,72.73%,0,274,0,0,50,0
59-056,99.00%,0,55,0,0,297,0
59-057,99.00%,1,103,0,1,219,0
59-058,99.00%,3,161,1,0,173,0
59-059,72.73%,0,122,0,0,77,0
59-060,99.00%,0,114,0,0,35,0
59-061,72.73%,0,200,0,0,75,0
59-062,72.73%,0,177,0,0,43,0
59-063,99.00%,0,4,0,0,94,1
59-064,75.00%,0,9,0,0,397,0
59-065,75.00%,0,7,1,0,315,0
59-066,75.00%,0,8,0,0,425,0
59-067,99.00%,2,35,1,1,536,1
59-068,99.00%,3,28,0,0,417,2
59-069,99.00%,1,37,1,1,519,0
59-070,99.00%,1,35,0,3,540,0
59-071,75.00%,0,17,2,0,399,0
59-072,75.00%,0,8,0,0,414,0
59-073,99.00%,0,27,0,0,607,0
59-074,99.00%,1,40,0,1,598,0
59-075,99.00%,0,33,3,2,487,0
59-076,99.00%,1,10,0,1,243,0
59-077,62.50%,0,9,0,0,212,0
59-078,80.00%,0,8,0,1,201,0
59-079,75.00%,0,9,0,1,274,0
59-080,99.00%,0,34,0,4,296,0
59-081,99.00%,0,30,0,0,466,1
59-082,80.00%,0,6,0,0,215,0
59-083,99.00%,2,118,0,1,152,1
59-084,99.00%,1,34,2,0,512,2
59-085,99.00%,0,5,1,0,349,0
59-086,99.00%,0,0,0,0,0,0
59-087,99.00%,0,0,0,0,0,0
59-088,99.00%,0,0,0,0,0,0
59-089,99.00%,0,0,0,0,0,0
59-090,99.00%,0,0,0,0,0,0
60-001,85.71%,0,0,0,0,136,0
60-002,85.71%,0,10,0,0,191,0
60-003,66.67%,0,5,0,3,204,0
60-004,63.64%,0,30,0,0,129,0
60-005,63.64%,0,72,0,0,152,0
60-006,99.00%,0,10,0,0,54,0
60-007,99.00%,1,1,0,0,256,0
60-008,99.00%,0,6,1,0,210,0
60-009,99.00%,0,5,1,1,170,0
60-010,80.00%,0,3,0,0,77,0
60-011,99.00%,0,2,0,0,20,0
60-012,80.00%,0,3,0,0,73,0
60-013,54.55%,0,60,0,1,304,0
60-014,80.00%,0,6,0,0,121,1
60-015,90.00%,0,4,0,0,124,0
60-016,80.00%,0,3,0,0,75,0
60-017,63.64%,0,35,0,1,232,1
60-018,90.00%,0,3,0,0,56,0
60-019,90.00%,0,2,0,1,29,0
60-020,66.67%,0,4,0,0,25,0
60-021,66.67%,0,7,0,0,77,0
60-022,66.67%,0,2,0,0,67,0
60-023,66.67%,0,2,0,0,25,0
60-024,88.89%,0,10,0,0,118,0
60-025,88.89%,0,0,0,0,0,0
60-026,88.89%,0,2,0,0,67,0
60-027,66.67%,0,3,0,0,92,0
60-028,66.67%,0,0,0,0,74,0
60-029,66.67%,0,6,0,1,147,0
60-030,66.67%,0,5,0,0,76,0
60-031,90.00%,0,0,0,0,46,0
60-032,60.00%,0,6,0,0,107,0
60-033,60.00%,0,4,1,0,157,0
60-034,66.67%,0,4,0,1,136,0
60-035,99.00%,0,10,0,0,144,0
60-036,99.00%,0,4,0,2,199,0
60-037,63.64%,0,1,0,1,131,0
60-038,63.64%,1,0,0,1,119,0
60-039,99.00%,0,8,0,0,131,0
60-040,99.00%,0,5,0,1,179,0
60-041,99.00%,1,6,0,1,300,0
60-042,70.00%,0,11,0,1,212,0
60-043,70.00%,0,1,0,0,188,0
60-044,66.67%,0,5,0,0,83,0
60-045,66.67%,1,0,0,0,149,0
60-046,66.67%,0,1,0,0,71,0
60-047,80.00%,0,16,0,0,397,0
60-048,90.00%,0,2,0,0,110,0
60-049,90.00%,1,8,0,0,209,0
60-050,90.00%,0,5,0,1,89,0
60-051,90.00%,1,8,0,1,351,1
60-052,70.00%,0,4,0,0,140,0
60-053,63.64%,1,6,1,0,172,0
60-054,63.64%,0,3,2,0,181,0
60-055,63.64%,0,7,1,1,193,0
60-056,99.00%,0,4,0,1,271,0
60-057,80.00%,0,2,0,1,172,0
60-058,80.00%,0,7,0,0,38,0
60-059,80.00%,0,1,0,0,78,0
60-060,80.00%,0,1,0,0,53,0
60-061,66.67%,0,6,0,0,143,0
60-062,54.55%,0,43,0,0,328,0
60-063,90.00%,0,9,0,0,148,0
60-064,90.00%,0,3,0,0,134,0
60-065,88.89%,1,13,0,2,291,0
60-066,72.73%,0,7,0,0,115,0
60-067,72.73%,0,0,0,0,74,0
60-068,72.73%,1,3,0,0,68,0
60-069,60.00%,0,3,0,0,44,0
60-070,60.00%,0,6,0,1,81,0
60-071,60.00%,0,1,0,0,65,0
60-072,60.00%,0,4,0,1,113,0
60-073,60.00%,0,5,0,0,106,0
60-074,54.55%,0,143,0,1,265,0
60-075,54.55%,0,53,1,0,350,0
60-076,63.64%,1,17,0,0,155,0
60-077,63.64%,0,12,0,1,157,0
60-078,63.64%,0,44,0,0,218,0
60-079,90.91%,1,7,0,0,185,0
60-080,72.73%,0,1,0,0,113,0
60-081,90.00%,0,7,0,0,170,0
60-082,72.73%,0,7,0,0,289,0
60-083,88.89%,0,4,0,0,252,0
60-084,88.89%,0,7,1,1,234,0
60-085,66.67%,0,8,0,0,170,0
60-086,88.89%,0,8,0,0,192,0
60-087,85.71%,0,8,0,0,122,0
60-088,99.00%,0,7,0,1,203,1
60-089,66.67%,0,1,0,0,88,0
60-090,60.00%,0,5,1,0,105,0
60-091,90.00%,1,8,0,0,208,0
61-001,57.14%,1,26,1,0,266,0
61-002,57.14%,1,104,2,3,359,0
61-003,57.14%,0,38,0,1,278,0
61-004,99.00%,5,88,5,1,272,1
61-005,99.00%,1,79,0,6,355,0
61-006,99.00%,3,128,2,1,190,1
61-007,66.67%,0,8,0,0,122,0
61-008,99.00%,0,30,2,0,314,0
61-009,99.00%,2,160,1,1,500,0
61-010,99.00%,0,106,1,0,313,0
61-011,99.00%,2,125,3,3,359,1
61-012,99.00%,7,349,4,5,473,0
61-013,50.00%,0,95,0,1,268,1
61-014,50.00%,3,175,2,2,238,1
61-015,99.00%,2,214,2,0,287,0
61-016,50.00%,0,31,1,0,261,1
61-017,99.00%,1,103,3,3,521,1
61-018,99.00%,3,191,4,0,384,4
61-019,99.00%,2,209,1,3,392,1
61-020,99.00%,2,275,1,2,365,3
61-021,99.00%,1,96,2,3,421,1
61-022,99.00%,1,140,2,0,494,0
61-023,99.00%,0,174,1,0,314,1
61-024,99.00%,6,285,0,1,336,1
61-025,99.00%,1,261,0,3,387,0
61-026,87.50%,1,73,2,2,319,0
61-027,87.50%,0,76,0,1,232,1
61-028,99.00%,0,137,3,2,357,1
61-029,99.00%,2,260,0,2,289,2
61-030,99.00%,5,276,0,2,368,1
61-031,87.50%,1,80,0,0,322,0
61-032,87.50%,1,72,0,1,233,0
61-033,99.00%,1,148,2,1,413,0
61-034,99.00%,4,426,3,0,184,0
61-035,57.14%,0,299,0,1,106,0
61-036,57.14%,1,178,0,2,120,0
61-037,99.00%,3,214,7,1,332,4
61-038,99.00%,6,337,5,2,286,0
61-039,99.00%,4,317,1,5,272,2
61-040,99.00%,5,387,3,0,247,0
61-041,99.00%,3,406,4,0,150,2
61-042,99.00%,5,477,1,0,267,0
61-043,99.00%,2,323,4,2,186,3
61-044,87.50%,5,281,3,0,171,1
61-045,87.50%,3,379,2,0,168,0
61-046,99.00%,2,370,1,2,264,0
61-047,99.00%,3,462,2,1,220,1
61-048,99.00%,4,503,3,1,202,1
